Fiscal Year,Service,Department Name,Division Name,Category,Description,Amount,Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Other Ordinary Maintenance,Professional and Technical Services,1000.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Other Ordinary Maintenance,Professional and Technical Services,10000.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Other Ordinary Maintenance,Pupil Transportation,7000.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Other Ordinary Maintenance,Repairs and Maint (Services),400.00,General Fund
2018,Human Resources and Development,Human Services,Birth to Third Grade Partnership,Salaries & Wages,Dental Insurance,14040.00,General Fund
2018,Human Resources and Development,Human Services,Birth to Third Grade Partnership,Salaries & Wages,Health Insurance,186575.00,General Fund
2018,Human Resources and Development,Human Services,Birth to Third Grade Partnership,Salaries & Wages,Medicare,10730.00,General Fund
2018,Human Resources and Development,Human Services,Birth to Third Grade Partnership,Salaries & Wages,Misc. Additional Comp,12000.00,General Fund
2018,Human Resources and Development,Human Services,Birth to Third Grade Partnership,Salaries & Wages,Pensions,139645.00,General Fund
2018,Human Resources and Development,Human Services,Birth to Third Grade Partnership,Salaries & Wages,Permanent Salaries/Wages,689430.00,General Fund
2018,Human Resources and Development,Human Services,Birth to Third Grade Partnership,Salaries & Wages,Temporary Salaries/Wages,38550.00,General Fund
2018,Human Resources and Development,Human Services,Birth to Third Grade Partnership,Other Ordinary Maintenance,Food and Food Service Supplies,50000.00,General Fund
2018,Human Resources and Development,Human Services,Birth to Third Grade Partnership,Other Ordinary Maintenance,Other Supplies,44000.00,General Fund
2018,Human Resources and Development,Human Services,Birth to Third Grade Partnership,Other Ordinary Maintenance,Professional and Technical Services,1109700.00,General Fund
2018,Human Resources and Development,Human Services,Birth to Third Grade Partnership,Travel & Training,Travel/Train. (out of State) Sum,5160.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Dental Insurance,9360.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Dental Insurance,2340.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Dental Insurance,2340.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Dental Insurance,4680.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Dental Insurance,2340.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Dental Insurance,2340.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Dental Insurance,6670.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Dental Insurance,4680.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Dental Insurance,4680.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Dental Insurance,1170.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Dental Insurance,2340.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Dental Insurance,2340.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Dental Insurance,4680.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Dental Insurance,3160.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Dental Insurance,2340.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Health Insurance,31475.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Health Insurance,11135.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Health Insurance,12735.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Health Insurance,85220.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Health Insurance,42610.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Health Insurance,12735.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Health Insurance,99885.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Health Insurance,42610.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Health Insurance,42610.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Health Insurance,75685.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Health Insurance,12735.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Health Insurance,22270.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Health Insurance,159305.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Health Insurance,64880.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Health Insurance,35005.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Medicare,1245.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Medicare,6470.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Medicare,2920.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Medicare,2970.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Medicare,1405.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Medicare,1300.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Medicare,1270.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Medicare,2910.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Medicare,1275.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Medicare,1490.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Medicare,5980.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Medicare,1210.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Medicare,1540.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Medicare,2975.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Medicare,1215.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Misc. Additional Comp,1500.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Misc. Additional Comp,760.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Misc. Additional Comp,3150.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Misc. Additional Comp,910.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Misc. Additional Comp,910.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Misc. Additional Comp,6300.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Misc. Additional Comp,1855.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Misc. Additional Comp,910.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Misc. Additional Comp,3150.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Misc. Additional Comp,910.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Misc. Additional Comp,910.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Misc. Additional Comp,9400.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Misc. Additional Comp,3150.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Misc. Additional Comp,3150.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Pensions,12695.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Pensions,50780.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Pensions,101560.00,General Fund
2018,Human Resources and Development,Human Services,Recreation,Salaries & Wages,Medicare,2895.00,General Fund
2018,Human Resources and Development,Human Services,Childcare & Family Support Services,Salaries & Wages,Pensions,50780.00,General Fund
